filename,file_size,num_sections,num_imported_functions,num_exported_functions,has_signature,avg_section_entropy,label
CorelDRAW,730896,32,262,1,0,3.028798738542935,1
Wirenet,78140,14,130,1,0,3.34462206606545,1
Finder,63768,13,173,0,0,3.2575277813865218,1
libShellCommand,84864,28,121,7,0,2.309193974021994,1
libFileManage,111520,28,115,8,0,2.387315843329356,1
libProcessAndApp,108496,30,134,10,0,2.2516144565681375,1
libCameraShot,95440,29,146,6,0,2.2481761028951013,1
libAudioRecorder,87184,28,129,4,0,2.1922112970075918,1
C40F0D27 2,1252656,31,1086,281,0,2.996445183639585,1
ddss,13456,8,16,6,0,2.420990435618503,1
libKeyChains,125248,31,194,10,0,2.3417688137836645,1
libBrowserHistory,84480,28,109,4,0,2.1262030902535227,1
libLanDevices,127536,28,183,14,0,2.2115749779050335,1
libWifiList,107920,30,134,10,0,2.281289246272025,1
HackBrowserData,18028224,15,106,0,0,3.2036392249599124,1
xcassets,22032,9,26,1,0,3.1466937266471304,1
Pods,22032,9,26,1,0,3.143960699387933,1
xcassets(1),22032,9,26,1,0,3.146973592642404,1
applet,8648,10,4,1,0,1.8861393374491076,1
CoinThief,66508,33,74,9,0,2.345732037782897,1
FileCoder,363584,16,253,0,0,3.1782391794491227,1
update_556a2174398890e3d628aec0163a42a7b7fb8ffd,333904,32,297,1,0,2.834196059440683,1
update_0ae9d61185f793c6d53e560e91265583675abeb6,326688,32,311,1,0,2.841423330579906,1
log,4592664,13,121,1,0,0.46390136614141614,1
kandykorn,379824,14,190,1,0,3.3117339701305193,1
Discord,157728,18,59,2,0,2.3668985024209723,1
mdworker3,157392,22,49,1,0,2.414405429939962,1
WindowServer_2,1392512,31,589,1,0,3.066373465198888,1
WindowServer,1425456,31,590,1,0,3.0846683451348174,1
pkgupdate,241360,29,123,1,0,2.869251411697697,1
rtcfg,186772,31,261,114,0,2.300787132387735,1
relaunch,25464,26,42,10,0,2.139687162529763,1
Gopher,145276,18,51,139,0,2.4840197315188153,1
stringdups,245920,26,181,1,0,2.898396398128762,0
md5,136576,11,62,1,0,2.9360655195524914,0
leave,101312,7,14,1,0,3.4276004278114898,0
indent,118848,11,13,1,0,2.2898275838884388,0
lipo,118848,11,13,1,0,2.2898275838884388,0
psm,240224,13,118,1,0,2.750061477962542,0
git,118848,11,13,1,0,2.2898275838884388,0
iconv,102304,7,34,1,0,3.1036881756847055,0
snmpvacm,151696,9,29,1,0,2.759016149757145,0
toe,119728,9,53,1,0,2.9135641376421817,0
AssetCacheTetheratorUtil,172976,23,78,1,0,3.1279486244285613,0
tty,101184,7,11,1,0,3.211738881777033,0
cupstestppd,187072,9,74,1,0,3.2707288328681536,0
diff,237312,12,105,1,0,2.7478494836835883,0
sleep,101184,8,11,1,0,3.0411254229508544,0
git-receive-pack,118848,11,13,1,0,2.2898275838884388,0
mount_smbfs,195392,12,110,29,0,3.371988112531086,0
colrm,101392,7,16,1,0,3.453782047389507,0
cksum,118208,10,22,1,0,2.9978880057674444,0
vi,5469856,18,251,1,0,3.3014404217842253,0
ncinit,135248,8,32,1,0,2.815219524125839,0
diffstat,169472,10,61,1,0,3.144998183371114,0
ktrace,417408,19,278,1,0,2.8055976372204596,0
snmptranslate,120256,6,48,1,0,3.3983518902993683,0
dd,152576,11,52,1,0,2.982650168370779,0
screen,668416,12,149,1,0,3.335214586043714,0
afida,220096,12,68,1,0,3.581202681700067,0
db_verify,2058992,12,131,1,0,3.1855195557579914,0
mcxquery,261296,23,177,1,0,2.8027590580227977,0
reset,136256,9,56,1,0,3.070732257684204,0
lsmp,169872,11,49,1,0,2.721999663847497,0
jot,134800,9,25,1,0,2.950141649271332,0
finger,137312,10,79,1,0,3.0392575858187283,0
fsck,118960,8,40,1,0,2.753958748664477,0
javac,135664,13,35,1,0,3.0445782033512967,0
expr,102048,8,27,1,0,3.130087057870548,0
xed,118912,11,12,1,0,2.2272005164485176,0
sha1sum,136576,11,62,1,0,2.9360655195524914,0
ppdmerge,119328,8,40,1,0,2.903841321593239,0
xargs,135984,10,49,1,0,3.0601219653544804,0
malloc_history,298736,27,218,1,0,2.902096287100479,0
iconutil,136464,15,42,1,0,2.8550320850506257,0
fstyp_ntfs,101536,9,17,1,0,2.326571062739165,0
bison,118848,11,13,1,0,2.2898275838884388,0
codecctl,192896,13,121,1,0,3.0955728228914836,0
c++filt,118848,11,13,1,0,2.2898275838884388,0
who,135472,9,40,1,0,2.8204762700210475,0
shlock,101872,8,26,1,0,3.138956397441417,0
tmutil,743856,44,545,1,0,3.3452559756531084,0
llvm-g++,118848,11,13,1,0,2.2898275838884388,0
kextunload,137728,15,59,1,0,2.459218495177056,0
